********************************************************************************
*      Signed document issued by Sphere Online Judge  (http://www.spoj.com)      
********************************************************************************

----- BEGIN OF DATA -----
Submissions by [baqir96] in contest [SPOJ].  DoI: 2016-11-22 05:44:30.
/------------------------------------------------------------------------------\
|   ID    |        DATE         |  PROBLEM  |  RESULT   | TIME  |  MEM   | LNG |
| 17312442 | 2016-07-19 08:53:41 |    NINJA4 |        AC |  0.00 |   3408 | C++ |
| 17312402 | 2016-07-19 08:38:22 |    NINJA4 |       TLE | -1.00 |   3456 | C++ |
| 17312369 | 2016-07-19 08:32:08 |    NINJA3 |        AC |  0.00 |   3456 | C++ |
| 17310085 | 2016-07-18 20:38:21 |   PCPC12J |        AC |  0.03 |   3408 | C++ |
| 17310023 | 2016-07-18 20:25:16 |   PCPC12J |        WA |  0.05 |   3408 | C++ |
| 17309818 | 2016-07-18 19:42:54 |    COMDIV |        AC |  0.44 |   2116 |   C |
| 17309815 | 2016-07-18 19:42:39 |    COMDIV |        WA |  0.00 |   2108 |   C |
| 17309695 | 2016-07-18 19:21:35 |    COMDIV |       TLE | -1.00 |   3456 | C++ |
| 17309690 | 2016-07-18 19:20:37 |    COMDIV |        CE |  0.00 |      0 | C++ |
| 17309672 | 2016-07-18 19:16:54 |    COMDIV |       TLE | -1.00 |   3408 | C++ |
| 17308616 | 2016-07-18 16:29:11 |   POWERUP |        AC |  0.03 |   3408 | C++ |
| 17307280 | 2016-07-18 12:15:22 |    DANGER |        AC |  0.00 |   3460 | C++ |
| 17307225 | 2016-07-18 12:01:58 |    DANGER |        RE |  0.00 |  11520 | C++ |
| 17307208 | 2016-07-18 11:58:14 |    DANGER |        WA |  0.00 |   3456 | C++ |
| 17307202 | 2016-07-18 11:56:55 |    DANGER |        WA |  0.00 |   3412 | C++ |
| 17306270 | 2016-07-18 09:14:03 |   SCPC11B |        AC |  0.00 |   3412 | C++ |
| 17305927 | 2016-07-18 07:10:52 |    BLUNIQ |       TLE | -1.00 |   5128 | C++ |
| 17303268 | 2016-07-17 18:22:43 |   IAPCR2A |        AC |  0.00 |   3408 | C++ |
| 17303251 | 2016-07-17 18:19:19 |   IAPCR2A |        RE |  0.00 |   3456 | C++ |
| 17303155 | 2016-07-17 17:59:42 |   IAPCR2C |        AC |  0.03 |   3728 | C++ |
| 17303109 | 2016-07-17 17:47:35 |   IAPCR2C |        WA |  0.04 |   3728 | C++ |
| 17303090 | 2016-07-17 17:42:00 |   IAPCR2C |        WA |  0.03 |   3724 | C++ |
| 17301676 | 2016-07-17 13:56:05 |      ACMT |        AC |  0.00 |   3408 | C++ |
| 17301249 | 2016-07-17 12:43:00 |     ABSP1 |        AC |  0.10 |   3408 | C++ |
| 17297313 | 2016-07-16 19:19:35 |  MAKEMAZE |        AC |  0.16 |   3540 | C++ |
| 17290938 | 2016-07-15 19:47:06 |  CRZYSMKR |        AC |  0.00 |   3408 | C++ |
| 17290504 | 2016-07-15 18:22:51 |  CRZYSMKR |        WA |  0.00 |   3408 | C++ |
| 17289913 | 2016-07-15 16:38:29 |      RPLH |        AC |  0.00 |   3412 | C++ |
| 17289887 | 2016-07-15 16:32:24 |      RPLH |        CE |  0.00 |      0 | C++ |
| 17286922 | 2016-07-15 07:48:28 |   VECTAR4 |        AC |  0.55 |   3456 | C++ |
| 17282432 | 2016-07-14 14:16:29 |   VECTAR4 |        WA |  0.91 |   3408 | C++ |
| 17282047 | 2016-07-14 13:04:21 | FUNMODSEQ |        AC |  0.87 |   3408 | C++ |
| 17281683 | 2016-07-14 11:50:06 | FUNMODSEQ |       TLE | -1.00 |   4384 | C++ |
| 17281146 | 2016-07-14 10:28:28 |    MCOINS |        AC |  0.00 |   4384 | C++ |
| 17281040 | 2016-07-14 10:12:12 |    MCOINS |        WA |  0.00 |   4312 | C++ |
| 17279000 | 2016-07-13 22:15:23 |     PROFF |        AC |  0.00 |   3412 | C++ |
| 17278955 | 2016-07-13 22:03:38 |     PROFF |        WA |  0.00 |   3460 | C++ |
| 17277923 | 2016-07-13 18:44:31 |       LCA |        AC |  0.71 |   3412 | C++ |
| 17276488 | 2016-07-13 15:07:08 |     NITT8 |        AC |  0.04 |   4116 | C++ |
| 17276487 | 2016-07-13 15:07:03 |     NITT8 |        AC |  0.04 |   4116 | C++ |
| 17276470 | 2016-07-13 15:03:32 |     NITT8 |        WA |  0.03 |   3716 | C++ |
| 17275638 | 2016-07-13 12:32:56 |     NITT2 |        AC |  0.04 |   3532 | C++ |
| 17274700 | 2016-07-13 10:36:18 |   SQRROOT |        AC |  0.17 |  45360 | PYP |
| 17274452 | 2016-07-13 10:10:05 |  BTCODE_D |        AC |  0.05 |   3464 | C++ |
| 17274426 | 2016-07-13 10:07:32 |  BTCODE_D |        WA |  0.04 |   3428 | C++ |
| 17274235 | 2016-07-13 09:33:51 |      CEQU |        AC |  1.15 |   3408 | C++ |
| 17274115 | 2016-07-13 09:07:42 |   KURUK14 |        AC |  0.00 |   3408 | C++ |
| 17274109 | 2016-07-13 09:06:12 |   KURUK14 |        CE |  0.00 |      0 |   C |
| 17270302 | 2016-07-12 17:22:03 |   LCPC12F |        AC |  0.02 |   3456 | C++ |
| 17268850 | 2016-07-12 13:38:12 | PRINTSPIRAL |        AC |  0.00 |   3456 | C++ |
| 17268813 | 2016-07-12 13:28:30 | PRINTSPIRAL |        WA |  0.00 |   3456 | C++ |
| 17267892 | 2016-07-12 10:51:32 |   CSQUARE |        WA |  0.22 |   3456 | C++ |
| 17267422 | 2016-07-12 09:33:48 |     EMTY3 |        AC |  0.08 |   3780 | C++ |
| 17267105 | 2016-07-12 08:34:19 |     EMTY2 |        AC |  0.00 |   3532 | C++ |
| 17265264 | 2016-07-11 23:21:51 |  CIRCLE_E |        AC |  0.00 |   3412 | C++ |
| 17265142 | 2016-07-11 22:41:06 |    PWRARR |        AC |  0.16 |   3532 | C++ |
| 17264898 | 2016-07-11 21:21:00 |     THRBL |        AC |  0.10 |   4196 | C++ |
| 17262361 | 2016-07-11 12:11:35 |   TREEORD |        AC |  0.00 |   4044 | C++ |
| 17261819 | 2016-07-11 10:51:48 |  NICEBTRE |        AC |  0.00 |   3408 | C++ |
| 17261706 | 2016-07-11 10:36:00 |  NICEBTRE |        WA |  0.00 |   3408 | C++ |
| 17261563 | 2016-07-11 10:14:38 |      SPCQ |        AC |  0.08 |   3456 | C++ |
| 17261335 | 2016-07-11 09:24:42 |  IITKWPCO |        AC |  0.00 |   3412 | C++ |
| 17258731 | 2016-07-10 19:14:45 |     CNTDO |        AC |  0.14 |   3540 | C++ |
